STORE_NBR,YEARMONTH,Total_Sales,Customers,Transactions,Total_Qty
14,201808,46.8,8,8,14
14,201809,47.5,7,7,13
14,201810,42.0,6,6,11
14,201811,47.6,8,8,14
14,201812,34.4,6,6,12
14,201901,18.0,3,3,6
14,201902,34.4,5,5,10
14,201903,13.2,2,2,4
14,201904,17.3,3,3,5
14,201905,9.4,3,3,4
14,201906,53.2,7,7,12
15,201807,742.6,84,103,206
15,201808,840.2,105,129,250
15,201809,837.0,89,119,238
15,201810,828.4,88,114,228
15,201811,647.2,78,96,192
15,201812,917.0,101,134,270
15,201901,873.8,99,124,248
15,201902,700.8,78,95,192
15,201903,773.0,88,109,218
15,201904,738.4,87,110,220
15,201905,768.85,95,117,219
15,201906,818.8,94,122,246
16,201807,113.8,32,33,33
16,201808,149.2,35,36,40
16,201809,140.2,35,39,41
16,201810,138.6,39,41,41
16,201811,150.1,40,41,41
16,201812,176.8,45,48,51
16,201901,153.3,41,41,41
16,201902,128.4,34,35,36
16,201903,156.7,38,41,41
16,201904,82.3,26,26,26
16,201905,133.5,31,32,38
16,201906,109.2,28,28,28
17,201807,485.7,56,57,109
17,201808,353.3,40,42,78
17,201809,377.0,40,43,83
17,201810,341.1,41,41,76
17,201811,403.6,42,46,88
17,201812,463.0,48,53,103
17,201901,364.6,39,43,83
17,201902,386.0,44,47,91
17,201903,440.3,50,52,101
17,201904,400.4,45,49,92
17,201905,333.2,42,43,80
17,201906,288.4,36,36,67
18,201807,326.6,52,55,88
18,201808,273.6,48,50,73
18,201809,262.5,43,47,74
18,201810,336.6,58,62,97
18,201811,258.0,45,48,74
18,201812,247.6,35,39,68
18,201901,266.7,47,48,74
18,201902,190.4,32,33,52
18,201903,269.5,47,48,78
18,201904,259.6,48,51,76
18,201905,288.0,48,50,81
18,201906,290.6,46,48,79
19,201807,729.1,84,95,163
19,201808,737.8,86,98,170
19,201809,774.6,81,96,169
19,201810,778.8,86,98,172
19,201811,764.7,88,100,176
19,201812,667.6,82,91,152
19,201901,992.0,111,125,224
19,201902,742.1,82,91,161
19,201903,548.9,66,72,126
19,201904,714.2,81,89,161
19,201905,844.4,93,108,191
19,201906,678.7,71,83,154
20,201807,269.2,56,57,72
20,201808,195.7,40,42,54
20,201809,215.9,46,48,64
20,201810,174.3,44,44,53
20,201811,154.7,36,37,46
20,201812,170.6,37,40,50
20,201901,188.2,41,44,55
20,201902,174.0,39,41,52
20,201903,269.5,56,60,77
20,201904,211.8,45,45,60
20,201905,230.85,44,47,70
20,201906,264.5,52,54,73
21,201807,409.4,42,46,92
21,201808,510.1,56,63,117
21,201809,382.6,41,46,91
21,201810,341.6,38,40,80
21,201811,554.4,59,63,126
21,201812,480.8,51,54,108
21,201901,415.2,45,47,96
21,201902,406.8,43,46,92
21,201903,384.0,43,45,90
21,201904,390.6,42,45,90
21,201905,486.0,55,61,112
21,201906,393.4,41,42,84
22,201807,309.2,49,51,94
22,201808,201.3,36,36,59
22,201809,302.9,42,43,82
22,201810,347.5,50,53,99
22,201811,262.2,42,42,78
22,201812,230.5,37,39,70
22,201901,325.8,48,55,96
22,201902,365.4,46,49,98
22,201903,316.2,49,50,91
22,201904,341.4,55,57,108
22,201905,415.5,59,63,111
22,201906,271.5,36,42,80
23,201807,890.8,96,124,252
23,201808,952.1,105,144,272
23,201809,720.8,88,104,216
23,201810,793.4,87,111,222
23,201811,826.0,94,119,240
23,201812,985.0,100,137,278
23,201901,930.8,103,134,270
23,201902,867.8,100,125,254
23,201903,767.6,86,104,212
23,201904,912.0,96,127,256
23,201905,841.5,96,125,243
23,201906,818.0,103,118,236
24,201807,719.2,90,107,214
24,201808,792.7,90,115,226
24,201809,857.4,95,123,246
24,201810,833.2,89,119,238
24,201811,702.0,86,101,208
24,201812,644.0,79,95,190
24,201901,820.6,98,118,238
24,201902,693.2,79,93,186
24,201903,830.6,90,118,238
24,201904,751.2,84,110,222
24,201905,804.9,95,125,241
24,201906,781.0,89,115,232
25,201807,414.6,43,47,94
25,201808,340.3,34,39,75
25,201809,398.6,42,45,90
25,201810,496.8,53,57,114
25,201811,554.2,57,63,126
25,201812,472.2,49,53,106
25,201901,443.6,45,48,96
25,201902,430.6,46,49,98
25,201903,451.8,49,51,104
25,201904,458.8,48,51,102
25,201905,405.35,47,49,93
25,201906,430.8,45,48,96
26,201807,1245.0,127,142,286
26,201808,1092.8,113,131,248
26,201809,1262.8,123,138,276
26,201810,1123.8,108,127,254
26,201811,1248.0,113,138,276
26,201812,1337.4,124,149,298
26,201901,1153.6,110,131,262
26,201902,1089.8,104,122,248
26,201903,1313.2,131,147,298
26,201904,1233.4,117,140,282
26,201905,1121.3,105,130,250
26,201906,1248.2,112,137,278
27,201807,470.1,51,53,105
27,201808,526.9,56,60,118
27,201809,436.40000000000003,49,50,100
27,201810,316.6,34,36,71
27,201811,403.1,46,46,90
27,201812,410.0,46,47,92
27,201901,424.0,45,47,91
27,201902,342.4,38,41,82
27,201903,459.4,46,52,100
27,201904,488.9,50,55,108
27,201905,363.4,44,46,81
27,201906,479.5,54,55,108
28,201807,754.0,90,109,218
28,201808,753.95,97,117,218
28,201809,787.8,84,108,216
28,201810,733.0,91,104,210
28,201811,895.0,101,125,250
28,201812,851.2,107,134,268
28,201901,794.4,91,114,232
28,201902,843.2,92,117,238
28,201903,701.2,78,96,198
28,201904,854.0,94,117,236
28,201905,615.6,79,93,182
28,201906,791.0,89,112,224
29,201807,309.2,37,37,71
29,201808,382.3,41,43,84
29,201809,475.3,48,54,105
29,201810,295.0,34,35,68
29,201811,348.2,36,39,77
29,201812,416.8,45,49,95
29,201901,455.2,49,53,105
29,201902,340.2,35,39,78
29,201903,422.9,48,51,100
29,201904,391.7,42,44,85
29,201905,472.3,54,59,111
29,201906,388.4,46,46,89
30,201807,879.8,94,123,248
30,201808,935.8,111,136,271
30,201809,860.6,96,116,238
30,201810,862.6,100,121,246
30,201811,819.0,93,115,232
30,201812,1014.0,99,131,266
30,201901,822.8,93,117,234
30,201902,838.0,94,123,246
30,201903,937.4,99,125,254
30,201904,811.0,91,113,228
30,201905,778.5,96,118,230
30,201906,800.0,94,116,234
31,201809,6.0,1,1,2
31,201811,8.8,1,1,2
32,201807,761.4,90,107,218
32,201808,751.0,93,112,220
32,201809,779.0,86,113,226
32,201810,1002.4,101,142,286
32,201811,1033.6,109,142,290
32,201812,921.4,103,131,270
32,201901,830.4,81,114,232
32,201902,575.0,70,81,166
32,201903,792.4,85,111,224
32,201904,851.6,97,118,238
32,201905,864.3,99,128,242
32,201906,821.0,91,119,238
33,201807,1045.6,116,152,306
33,201808,934.8000000000001,109,142,275
33,201809,921.0,103,128,258
33,201810,927.8,106,130,262
33,201811,888.0,102,126,252
33,201812,972.8,105,135,272
33,201901,970.6,103,136,277
33,201902,781.2,89,106,216
33,201903,901.4,98,124,250
33,201904,1087.4,104,150,304
33,201905,915.2,101,135,258
33,201906,818.2,98,119,238
34,201807,335.8,38,40,77
34,201808,343.7,44,45,77
34,201809,326.5,38,38,75
34,201810,444.7,50,51,97
34,201811,323.7,37,41,77
34,201812,455.7,50,55,105
34,201901,392.0,42,44,85
34,201902,273.7,32,34,62
34,201903,332.7,40,40,77
34,201904,419.3,46,48,94
34,201905,334.7,37,39,73
34,201906,283.7,32,35,66
35,201807,124.2,36,37,37
35,201808,147.6,40,40,43
35,201809,121.3,31,32,33
35,201810,128.1,33,33,34
35,201811,121.2,34,34,36
35,201812,147.1,35,37,40
35,201901,99.5,27,27,27
35,201902,117.2,32,32,34
35,201903,156.4,38,39,44
35,201904,143.6,37,40,41
35,201905,176.1,38,42,51
35,201906,126.6,29,31,33
36,201807,1014.2,102,112,226
36,201808,1078.05,111,129,245
36,201809,918.6,95,104,208
36,201810,1136.6,114,128,256
36,201811,1098.4,100,122,246
36,201812,1014.8000000000001,98,115,230
36,201901,923.4,89,106,214
36,201902,905.0,88,101,202
36,201903,942.0,94,107,214
36,201904,1017.4,97,113,228
36,201905,895.0,98,110,207
36,201906,1154.8,111,131,264
37,201807,471.6,48,51,100
37,201808,547.75,64,67,124
37,201809,372.8,44,44,86
37,201810,388.4,47,48,94
37,201811,264.5,30,31,61
37,201812,455.2,49,51,102
37,201901,392.1,40,44,86
37,201902,350.40000000000003,39,41,80
37,201903,442.2,44,51,102
37,201904,407.6,45,48,96
37,201905,276.9,32,32,63
37,201906,359.0,37,40,80
38,201807,301.6,46,48,77
38,201808,283.9,50,54,80
38,201809,268.6,43,46,75
38,201810,240.7,46,48,74
38,201811,352.2,53,59,98
38,201812,207.4,36,38,62
38,201901,299.8,54,58,89
38,201902,254.7,46,49,74
38,201903,225.1,39,43,66
38,201904,239.4,43,43,69
38,201905,220.7,44,46,67
38,201906,256.3,43,44,71
39,201807,866.0,99,126,256
39,201808,919.2,100,130,255
39,201809,873.0,100,121,252
39,201810,844.2,94,119,242
39,201811,856.4,103,126,252
39,201812,857.4,96,124,248
39,201901,865.6,94,127,254
39,201902,704.2,87,98,200
39,201903,912.0,98,131,264
39,201904,863.6,102,134,270
39,201905,807.65,96,121,237
39,201906,812.8,96,115,234
40,201807,1332.0,128,152,306
40,201808,1208.0,123,136,268
40,201809,1312.0,135,150,300
40,201810,1323.6,118,144,292
40,201811,1099.4,109,122,244
40,201812,1335.4,128,152,306
40,201901,1256.4,121,144,288
40,201902,1355.4,125,149,300
40,201903,1277.6,118,141,282
40,201904,1249.0,119,140,280
40,201905,1342.9,136,162,305
40,201906,1467.8,143,164,328
41,201807,216.4,49,50,61
41,201808,209.8,43,44,58
41,201809,216.1,44,46,58
41,201810,156.5,34,38,46
41,201811,199.3,46,47,60
41,201812,214.5,46,50,63
41,201901,169.0,36,37,45
41,201902,234.6,50,50,69
41,201903,226.2,46,49,67
41,201904,231.3,47,49,65
41,201905,258.8,51,52,66
41,201906,237.7,48,54,65
42,201807,27.3,7,7,9
42,201808,44.9,8,8,12
42,201809,21.2,6,6,8
42,201810,14.700000000000001,3,3,4
42,201811,8.4,2,2,2
42,201812,12.3,4,4,4
42,201901,35.2,9,9,10
42,201902,17.1,4,4,4
42,201903,24.2,5,5,6
42,201904,6.7,2,2,2
42,201905,30.3,9,9,10
42,201906,15.5,5,5,5
43,201807,1003.8,118,146,292
43,201808,1005.7,109,149,294
43,201809,974.8,100,135,272
43,201810,1026.4,111,145,292
43,201811,950.8,104,133,266
43,201812,1274.8,125,169,340
43,201901,1002.8,111,141,284
43,201902,852.2,99,121,242
43,201903,1118.2,118,160,320
43,201904,972.2,102,136,275
43,201905,1083.65,122,159,308
43,201906,1119.2,120,167,334
44,201807,23.7,4,4,6
44,201809,16.4,3,3,5
44,201810,26.9,5,5,7
44,201811,26.6,4,4,7
44,201812,33.5,7,7,11
44,201901,19.8,5,5,7
44,201902,36.7,4,4,7
44,201903,25.2,6,6,9
44,201904,20.900000000000002,5,5,7
44,201905,56.5,6,6,13
44,201906,50.0,9,9,16
45,201807,981.2,115,145,290
45,201808,669.1,84,102,189
45,201809,695.4,84,99,200
45,201810,718.0,85,102,208
45,201811,809.0,88,113,230
45,201812,791.0,88,111,224
45,201901,957.4,107,137,278
45,201902,806.0,85,107,214
45,201903,745.0,88,106,212
45,201904,809.4,90,117,234
45,201905,661.2,87,106,197
45,201906,865.8000000000001,96,119,242
46,201807,253.0,45,48,75
46,201808,240.7,44,46,67
46,201809,233.0,41,43,71
46,201810,275.1,47,49,81
46,201811,273.1,42,44,73
46,201812,306.9,50,53,85
46,201901,176.20000000000002,33,33,51
46,201902,222.4,38,38,68
46,201903,259.2,41,41,70
46,201904,260.0,47,49,81
46,201905,243.55,38,42,73
46,201906,280.3,47,49,82
47,201807,290.3,45,46,88
47,201808,407.85,55,59,106
47,201809,439.5,60,63,120
47,201810,376.7,46,52,103
47,201811,325.3,50,53,101
47,201812,475.0,71,76,145
47,201901,389.8,57,59,111
47,201902,362.5,50,51,100
47,201903,308.8,44,46,87
47,201904,381.4,53,56,109
47,201905,365.2,48,50,100
47,201906,385.6,55,59,112
48,201807,929.4,100,135,270
48,201808,851.1,98,123,237
48,201809,809.8,92,115,232
48,201810,879.2,89,120,248
48,201811,785.4,93,113,232
48,201812,917.2,92,120,242
48,201901,940.2,108,133,270
48,201902,733.0,82,99,202
48,201903,831.8,100,118,240
48,201904,862.4,95,127,260
48,201905,806.7,91,120,231
48,201906,867.2,97,128,260
49,201807,1099.7,104,127,251
49,201808,840.7,87,96,191
49,201809,1115.7,105,127,252
49,201810,1098.0,98,123,247
49,201811,1082.3,104,121,243
49,201812,1149.3,116,128,257
49,201901,1178.4,114,135,265
49,201902,987.3,104,115,230
49,201903,1261.8,124,144,288
49,201904,1024.0,107,116,229
49,201905,1177.4,119,141,272
49,201906,1273.1,121,147,291
50,201807,314.4,53,56,86
50,201808,292.4,53,56,86
50,201809,258.8,46,50,72
50,201810,252.8,46,50,76
50,201811,222.1,37,38,59
50,201812,331.2,64,69,99
50,201901,223.9,44,46,64
50,201902,154.5,32,32,45
50,201903,227.0,42,45,63
50,201904,242.4,47,49,71
50,201905,219.5,39,40,61
50,201906,270.8,43,47,74
51,201807,116.2,29,32,34
51,201808,208.3,41,44,59
51,201809,155.8,36,39,45
51,201810,133.3,30,31,36
51,201811,174.3,43,44,50
51,201812,185.0,43,46,55
51,201901,165.0,34,36,43
51,201902,208.5,50,50,59
51,201903,151.1,38,38,44
51,201904,165.7,36,38,45
51,201905,210.0,46,50,58
51,201906,132.3,27,29,36
52,201807,28.3,5,5,9
52,201808,40.3,7,7,13
52,201809,25.799999999999997,4,4,7
52,201810,34.3,5,5,8
52,201811,35.6,7,7,13
52,201812,47.8,6,6,12
52,201901,42.2,6,6,10
52,201902,27.1,4,4,7
52,201903,42.6,7,7,14
52,201904,46.3,9,9,13
52,201905,32.6,6,6,10
52,201906,62.400000000000006,9,9,15
53,201807,229.8,42,44,70
53,201808,255.1,48,49,75
53,201809,188.0,39,40,59
53,201810,238.9,42,45,69
53,201811,223.8,45,46,63
53,201812,302.6,51,55,82
53,201901,172.9,33,33,49
53,201902,179.1,36,37,54
53,201903,225.8,45,45,65
53,201904,227.8,39,41,63
53,201905,272.35,50,52,75
53,201906,198.9,41,42,53
54,201807,480.8,47,52,104
54,201808,384.2,42,44,86
54,201809,497.0,51,55,110
54,201810,442.0,51,52,104
54,201811,504.2,58,61,121
54,201812,458.2,45,51,102
54,201901,559.0,59,62,124
54,201902,341.8,37,38,76
54,201903,458.0,51,52,104
54,201904,517.4,54,59,118
54,201905,338.55,40,43,76
54,201906,389.7,43,46,91
55,201807,889.6,100,124,256
55,201808,910.3,105,136,269
55,201809,1028.8,111,141,284
55,201810,1024.4,107,142,290
55,201811,779.8,87,111,228
55,201812,834.4,96,123,250
55,201901,1003.2,114,140,282
55,201902,757.8,95,109,222
55,201903,943.6,104,136,276
55,201904,851.8,94,117,238
55,201905,736.85,93,113,208
55,201906,999.6,105,140,284
56,201807,674.6,84,94,188
56,201808,634.5,81,101,196
56,201809,691.0,77,98,198
56,201810,872.0,99,123,246
56,201811,714.0,86,105,212
56,201812,802.8,89,113,230
56,201901,647.0,73,94,190
56,201902,626.6,75,87,176
56,201903,699.4,82,100,200
56,201904,762.6,85,109,220
56,201905,673.65,82,97,189
56,201906,594.9,75,89,177
57,201807,839.6,103,124,250
57,201808,915.4,102,130,249
57,201809,792.8,99,116,236
57,201810,965.8,104,136,272
57,201811,830.0,100,117,234
57,201812,951.0,104,131,262
57,201901,852.8,87,120,240
57,201902,919.8,108,129,260
57,201903,807.4,99,121,248
57,201904,900.0,106,137,278
57,201905,846.7,109,130,246
57,201906,911.0,104,134,270
58,201807,1627.2,146,184,371
58,201808,1043.75,106,126,239
58,201809,1460.8,135,164,332
58,201810,1430.0,127,157,318
58,201811,1165.0,113,129,264
58,201812,1185.6,124,138,275
58,201901,1266.4,123,146,293
58,201902,1182.0,118,134,268
58,201903,1299.8,121,146,296
58,201904,1406.0,126,156,312
58,201905,1060.1,108,122,243
58,201906,1124.8,104,125,252
59,201807,1267.6,122,141,280
59,201808,932.5,100,113,212
59,201809,1105.2,110,124,248
59,201810,1135.8,106,132,266
59,201811,974.6,98,114,230
59,201812,1205.5,120,136,270
59,201901,1098.0,109,125,249
59,201902,932.3,99,108,214
59,201903,1088.8,96,126,252
59,201904,1079.8,112,124,246
59,201905,901.65,94,114,210
59,201906,1230.6,118,139,277
60,201807,1106.6,106,125,250
60,201808,1064.6,100,123,241
60,201809,1028.7,95,120,237
60,201810,958.8,95,110,218
60,201811,1169.5,112,133,268
60,201812,1282.9,116,147,293
60,201901,1075.4,102,121,241
60,201902,943.1,96,108,217
60,201903,1111.2,114,127,252
60,201904,1172.8,109,134,269
60,201905,1116.9,112,133,254
60,201906,897.2,93,105,210
61,201807,38.4,6,6,12
61,201808,27.900000000000002,6,6,8
61,201809,99.0,13,13,26
61,201810,56.0,7,7,14
61,201811,47.0,8,8,16
61,201812,27.799999999999997,4,4,8
61,201901,42.2,8,8,15
61,201902,47.1,9,9,17
61,201903,72.8,11,11,22
61,201904,52.400000000000006,6,6,12
61,201905,27.5,5,6,11
61,201906,24.8,4,4,8
62,201807,983.6,108,138,278
62,201808,792.4,96,115,227
62,201809,972.8,103,134,272
62,201810,840.2,100,122,246
62,201811,952.8,97,134,272
62,201812,912.4,107,135,270
62,201901,887.8,98,125,254
62,201902,864.4,101,123,248
62,201903,889.8,103,128,258
62,201904,885.2,103,126,252
62,201905,754.9,94,114,219
62,201906,846.8,96,120,240
63,201807,1053.2,113,141,284
63,201808,986.6,111,144,280
63,201809,972.6,111,136,276
63,201810,908.0,100,130,260
63,201811,950.4,111,140,280
63,201812,992.8,115,141,286
63,201901,1019.8000000000001,113,148,296
63,201902,781.2,89,110,220
63,201903,1125.2,121,157,314
63,201904,1029.0,121,148,298
63,201905,1151.0,133,175,339
63,201906,1115.2,118,161,326
64,201807,515.4,54,58,116
64,201808,374.3,42,45,86
64,201809,419.4,44,46,92
64,201810,482.6,50,54,108
64,201811,389.6,39,43,86
64,201812,363.40000000000003,39,41,82
64,201901,358.8,37,40,80
64,201902,339.6,39,40,80
64,201903,473.6,50,55,110
64,201904,401.6,44,45,89
64,201905,425.3,49,53,98
64,201906,351.0,39,40,80
65,201807,1013.4,103,114,225
65,201808,965.0,100,117,220
65,201809,952.7,93,112,216
65,201810,1113.8,108,129,249
65,201811,1111.8,108,129,254
65,201812,1274.4,124,146,287
65,201901,1171.3,114,133,264
65,201902,1234.7,116,142,280
65,201903,1117.0,112,132,260
65,201904,933.0,95,107,208
65,201905,1066.55,105,128,236
65,201906,1061.4,109,122,238
66,201807,371.6,43,44,85
66,201808,484.8,51,56,110
66,201809,484.6,48,55,110
66,201810,386.6,42,43,86
66,201811,299.0,35,35,70
66,201812,443.2,43,49,97
66,201901,482.0,50,55,109
66,201902,333.2,34,37,74
66,201903,519.5,53,60,119
66,201904,529.7,56,62,122
66,201905,386.0,45,47,88
66,201906,421.8,45,47,94
67,201807,859.4,98,121,242
67,201808,902.9,105,134,256
67,201809,810.4,98,113,232
67,201810,944.8,110,129,260
67,201811,781.6,92,113,232
67,201812,778.4,91,109,218
67,201901,912.8,111,133,268
67,201902,734.6,86,101,206
67,201903,890.4,94,126,262
67,201904,921.4,101,132,264
67,201905,884.1,111,136,251
67,201906,905.2,103,123,248
68,201807,313.1,38,39,72
68,201808,303.7,38,41,67
68,201809,286.3,30,33,66
68,201810,289.7,32,35,66
68,201811,386.8,43,47,92
68,201812,389.7,43,46,89
68,201901,380.8,43,46,87
68,201902,356.3,39,42,80
68,201903,359.6,34,39,78
68,201904,273.4,32,34,63
68,201905,386.6,40,41,81
68,201906,201.5,22,23,42
69,201807,956.6,116,141,284
69,201808,983.85,118,154,284
69,201809,950.4,106,132,264
69,201810,844.4,96,123,246
69,201811,1130.2,123,160,320
69,201812,942.6,106,132,264
69,201901,849.2,102,124,250
69,201902,914.8,107,128,260
69,201903,932.4,104,132,268
69,201904,815.8,96,112,226
69,201905,913.8,105,138,271
69,201906,1054.8,112,148,296
70,201807,920.2,111,137,274
70,201808,860.8000000000001,95,130,247
70,201809,888.2,101,127,258
70,201810,789.6,94,114,232
70,201811,787.2,84,109,220
70,201812,699.6,83,100,202
70,201901,891.8,95,130,262
70,201902,710.6,89,102,204
70,201903,763.2,84,102,208
70,201904,790.4,89,110,222
70,201905,718.4,87,105,204
70,201906,663.0,78,98,200
71,201807,1098.6,114,154,312
71,201808,972.1,107,143,273
71,201809,879.8,99,124,250
71,201810,861.2,100,125,252
71,201811,960.2,97,134,272
71,201812,950.6,107,139,278
71,201901,904.0,103,133,268
71,201902,1041.0,113,149,300
71,201903,1080.0,118,147,296
71,201904,980.0,115,141,284
71,201905,900.5,111,137,263
71,201906,922.8,104,134,272
72,201807,1323.6,118,145,294
72,201808,1243.7,120,148,283
72,201809,1172.6,111,135,271
72,201810,1224.6,117,138,278
72,201811,1089.6,106,121,244
72,201812,1169.0,116,133,268
72,201901,1295.4,113,146,296
72,201902,1120.0,113,130,260
72,201903,1253.4,125,140,280
72,201904,1025.4,102,116,236
72,201905,1071.9,105,128,243
72,201906,1215.2,119,136,272
73,201807,361.5,53,56,103
73,201808,310.6,46,47,86
73,201809,332.0,44,45,81
73,201810,358.5,54,58,105
73,201811,252.5,40,40,75
73,201812,332.3,46,49,92
73,201901,330.1,50,51,96
73,201902,323.1,48,49,94
73,201903,299.2,46,47,85
73,201904,367.0,56,57,108
73,201905,314.6,42,45,83
73,201906,322.8,48,51,94
74,201807,206.0,42,45,60
74,201808,135.9,31,32,36
74,201809,180.2,40,42,54
74,201810,214.8,45,48,61
74,201811,140.8,34,34,42
74,201812,200.2,43,44,56
74,201901,179.8,38,39,50
74,201902,202.1,45,45,56
74,201903,171.4,37,39,49
74,201904,169.0,34,35,49
74,201905,209.0,37,38,58
74,201906,235.7,50,54,67
75,201807,1092.5,99,125,249
75,201808,1070.4,110,131,241
75,201809,1151.6,105,129,259
75,201810,1255.6,124,145,288
75,201811,1147.2,105,124,253
75,201812,1077.6,101,120,242
75,201901,1168.6,107,131,262
75,201902,1007.4,95,112,224
75,201903,901.6,94,107,212
75,201904,1149.5,106,130,259
75,201905,1027.4,101,119,231
75,201906,1040.2,102,119,240
76,201810,6.0,1,1,2
77,201807,296.8,51,55,84
77,201808,255.5,47,48,74
77,201809,225.20000000000002,42,44,70
77,201810,204.5,37,38,52
77,201811,245.3,41,44,67
77,201812,267.3,46,48,72
77,201901,204.4,35,39,65
77,201902,235.0,45,45,74
77,201903,278.5,50,55,82
77,201904,263.5,47,48,78
77,201905,299.3,55,56,84
77,201906,264.7,41,42,70
78,201807,810.8,91,115,234
78,201808,786.8000000000001,91,116,223
78,201809,827.2,101,118,236
78,201810,839.4,96,125,250
78,201811,753.4,90,112,224
78,201812,692.2,79,99,198
78,201901,756.6,89,110,220
78,201902,731.6,86,102,204
78,201903,793.2,95,114,230
78,201904,710.6,80,103,206
78,201905,877.45,99,128,252
78,201906,802.0,97,116,232
79,201807,1080.1,110,125,243
79,201808,924.05,101,119,215
79,201809,1124.8,115,134,261
79,201810,986.9,103,112,220
79,201811,1062.7,104,128,243
79,201812,970.1,102,112,221
79,201901,994.5,105,117,225
79,201902,994.8,97,116,223
